geneSet_id,gene_symbol
HALLMARK_HYPOXIA,HIF1A
HALLMARK_HYPOXIA,VEGFA
HALLMARK_HYPOXIA,SLC2A1
HALLMARK_HYPOXIA,CA9
HALLMARK_HYPOXIA,LDHA
HALLMARK_HYPOXIA,PGK1
HALLMARK_HYPOXIA,BNIP3
HALLMARK_HYPOXIA,EPO
HALLMARK_HYPOXIA,HK2
HALLMARK_HYPOXIA,PDK1
HALLMARK_HYPOXIA,EGLN1
HALLMARK_HYPOXIA,HMOX1
HALLMARK_HYPOXIA,CXCR4
HALLMARK_HYPOXIA,MMP9
HALLMARK_HYPOXIA,ANGPT2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,MT-CO1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,MT-CO2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,MT-ND1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,MT-ATP6
HALLMARK_OXIDATIVE_PHOSPHORYLATION,COX4I1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,COX5A
HALLMARK_OXIDATIVE_PHOSPHORYLATION,UQCRC1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,NDUFS1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,NDUFB8
HALLMARK_OXIDATIVE_PHOSPHORYLATION,SDHB
HALLMARK_OXIDATIVE_PHOSPHORYLATION,ATP5A1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,CYC1
HALLMARK_OXIDATIVE_PHOSPHORYLATION,UQCRC2
HALLMARK_OXIDATIVE_PHOSPHORYLATION,MT-ND4
HALLMARK_OXIDATIVE_PHOSPHORYLATION,COX5B
HALLMARK_GLYCOLYSIS,HK1
HALLMARK_GLYCOLYSIS,HK2
HALLMARK_GLYCOLYSIS,GPI
HALLMARK_GLYCOLYSIS,PFKL
HALLMARK_GLYCOLYSIS,PFKFB3
HALLMARK_GLYCOLYSIS,ALDOA
HALLMARK_GLYCOLYSIS,GAPDH
HALLMARK_GLYCOLYSIS,PGK1
HALLMARK_GLYCOLYSIS,ENO1
HALLMARK_GLYCOLYSIS,PKM
HALLMARK_GLYCOLYSIS,LDHA
HALLMARK_GLYCOLYSIS,SLC2A1
HALLMARK_GLYCOLYSIS,PDK1
HALLMARK_GLYCOLYSIS,PGAM1
HALLMARK_GLYCOLYSIS,TPI1
HALLMARK_APOPTOSIS,TP53
HALLMARK_APOPTOSIS,BCL2
HALLMARK_APOPTOSIS,BCL2L1
HALLMARK_APOPTOSIS,BAX
HALLMARK_APOPTOSIS,BAD
HALLMARK_APOPTOSIS,CASP3
HALLMARK_APOPTOSIS,CASP8
HALLMARK_APOPTOSIS,CASP9
HALLMARK_APOPTOSIS,CYCS
HALLMARK_APOPTOSIS,APAF1
HALLMARK_APOPTOSIS,FAS
HALLMARK_APOPTOSIS,FASLG
HALLMARK_APOPTOSIS,MCL1
HALLMARK_APOPTOSIS,BID
HALLMARK_APOPTOSIS,PUMA
HALLMARK_INFLAMMATORY_RESPONSE,IL6
HALLMARK_INFLAMMATORY_RESPONSE,TNF
HALLMARK_INFLAMMATORY_RESPONSE,IL1B
HALLMARK_INFLAMMATORY_RESPONSE,IL8
HALLMARK_INFLAMMATORY_RESPONSE,CXCL10
HALLMARK_INFLAMMATORY_RESPONSE,CCL2
HALLMARK_INFLAMMATORY_RESPONSE,ICAM1
HALLMARK_INFLAMMATORY_RESPONSE,VCAM1
HALLMARK_INFLAMMATORY_RESPONSE,PTGS2
HALLMARK_INFLAMMATORY_RESPONSE,NFKB1
HALLMARK_INFLAMMATORY_RESPONSE,CXCL1
HALLMARK_INFLAMMATORY_RESPONSE,IRF1
