cell_id,dim1,dim2,dim3,library,phase,fucci_time_hrs
SRR11286370,0.6399539000000001,-0.75806874,-0.1256607,U2OS,G2M,20.346400000000006
SRR11286371,0.7809808000000001,-0.62443686,-0.012143682,U2OS,G2M,25.204103
SRR11286372,0.9908636999999999,0.02717057,0.13210152,U2OS,G2M,22.762535
SRR11286374,0.01787994,0.0016869325,0.9998386999999999,U2OS,G1,1.0936190000000001
SRR11286375,0.93187964,-0.29946765,-0.20474198,U2OS,S,14.75114
SRR11286377,0.9485707,-0.31652546,0.0050001559999999995,U2OS,G2M,22.253875
SRR11286378,-0.13015307,0.8799551,-0.45687965,U2OS,G1,4.0947130000000005
SRR11286379,0.7181334,-0.6957903,0.012655214,U2OS,G2M,21.36372
SRR11286380,0.16021416,-0.39792398,0.90332055,U2OS,G1,0.152598
SRR11286381,0.88654137,-0.42817038,-0.17525539,U2OS,G2M,24.034185
SRR11286383,0.9410334,0.19037594,-0.27966616,U2OS,S,12.284139
SRR11286384,0.52953315,0.8379613000000001,-0.13196725,U2OS,G1,5.315497
SRR11286385,0.9019765,0.2764741,-0.3316632,U2OS,S,11.622881
SRR11286386,0.41492376,-0.6713823,0.6140717,U2OS,G2M,16.709481
SRR11286387,0.9915733,-0.119574055,0.04984337,U2OS,S,15.285232999999998
SRR11286388,0.46624717,-0.8259298,0.31694388,U2OS,S,15.768460000000001
SRR11286389,0.37579143,-0.65531987,0.6552379,U2OS,G2M,19.83774
SRR11286390,-0.9072355,0.3231236,-0.2692861,U2OS,G1-G0 transition,3.713218
SRR11286391,0.7594986,0.6502239000000001,-0.019256381,U2OS,S,9.893436999999999
SRR11286392,0.5385310999999999,-0.6507546999999999,0.5352593000000001,U2OS,G2M,21.007658
SRR11286393,0.48411372,-0.5485225,0.68173087,U2OS,G2M,16.887512
SRR11286394,0.8861786,0.4612468,-0.04403195,U2OS,S,12.258706
SRR11286396,0.7025029,0.3272859,-0.6319599,U2OS,S,9.054148
SRR11286397,0.8652164000000001,-0.4995826,-0.042634048,U2OS,G2M,24.746309
SRR11286398,0.85672003,0.46472420000000003,-0.22374569,U2OS,S,10.529262
SRR11286399,0.36072555,-0.785279,0.50320387,U2OS,G2M,18.794987
SRR11286401,0.48550975,0.57777363,-0.65609294,U2OS,S,8.621787000000001
SRR11286402,0.8973386999999999,-0.2720308,-0.34753782,U2OS,S,15.208934
SRR11286403,0.2799122000000001,-0.07346975,0.9572101000000001,U2OS,G1,1.322516
SRR11286404,0.54267496,-0.45835444,0.70385724,U2OS,G2M,25.305835000000002
SRR11286405,0.50301135,-0.8295296999999998,0.24261075,U2OS,G2M,22.457339
SRR11286406,0.5096281,0.49281165,0.70527714,U2OS,G1,6.8160440000000015
SRR11286407,0.7733029,-0.57361287,-0.2701312,U2OS,S,13.886417999999999
SRR11286408,0.3848017,-0.73630977,0.5565747,U2OS,G2M,18.947585
SRR11286411,0.9130030000000001,0.29585433,-0.28088367,U2OS,S,10.605561
SRR11286412,0.9541854999999999,-0.13349706,-0.2677845,U2OS,G2M,23.144029999999997
SRR11286413,0.8639171,0.28335562,-0.4163612,U2OS,S,10.910757
SRR11286414,0.55138826,-0.61123574,0.5677691,U2OS,G2M,20.651595999999998
SRR11286416,0.24936941,-0.8049833000000001,0.53834623,U2OS,G2M,21.261988
SRR11286417,-0.8127465,-0.39222896,-0.43081257,U2OS,G1-G0 transition,2.212671
SRR11286419,0.23661369,-0.18779184,0.95328295,U2OS,G1,0.152598
SRR11286420,0.4388193,-0.7679590000000001,0.46655813,U2OS,G2M,18.286327
SRR11286422,0.8469754,-0.10893895,-0.52035093,U2OS,S,12.360438
SRR11286423,0.10752509,0.97348183,0.20191981,U2OS,G1,7.146673000000002
