Unnamed: 0,dim1,dim2,dim3,phase,library
SRR11286370,0.13855724,-0.08929353,0.9863208,G2M,U2OS
SRR11286371,0.40860724,-0.0634299,0.91050357,G2M,U2OS
SRR11286372,0.93209314,-0.12649511,0.33941308,G2M,U2OS
SRR11286374,-0.10533021,-0.9861448,-0.12815526,G1,U2OS
SRR11286375,0.7665105,0.08069708,0.6371417,S,U2OS
SRR11286377,0.72446495,0.07181392,0.6855605,G2M,U2OS
SRR11286378,0.21665925,0.64119565,-0.73615694,G1,U2OS
SRR11286379,0.4229779,-0.25096598,0.8706927,G2M,U2OS
SRR11286380,0.084696375,-0.9605297,0.26496997,G1,U2OS
SRR11286381,0.5576081,0.17659454,0.8111026,G2M,U2OS
SRR11286383,0.9541727,0.26008397,0.14802267,S,U2OS
SRR11286384,0.79308057,0.39743966,-0.46158963,G1,U2OS
SRR11286385,0.9432237,0.32009366,0.08870802,S,U2OS
SRR11286386,0.18188146,-0.6875931,0.70294744,G2M,U2OS
SRR11286387,0.9041578,-0.16321988,0.39478838,S,U2OS
SRR11286388,0.007736149,-0.46303526,0.886306,S,U2OS
SRR11286389,-0.0017813577,-0.72288376,0.69096714,G2M,U2OS
SRR11286390,-0.70773596,0.43672556,-0.5553203,G1-G0 transition,U2OS
SRR11286391,0.8942288,0.20358351,-0.39863312,S,U2OS
SRR11286392,0.29741248,-0.6005036,0.74225414,G2M,U2OS
SRR11286393,0.277059,-0.79878753,0.5340194,G2M,U2OS
SRR11286394,0.9806335,0.16810341,-0.100494966,S,U2OS
SRR11286396,0.76110613,0.6483494,0.018986672,S,U2OS
SRR11286397,0.63735396,-0.16569334,0.752546,G2M,U2OS
SRR11286398,0.9542789,0.28873795,-0.07734452,S,U2OS
SRR11286399,-0.05578064,-0.6902249,0.7214417,G2M,U2OS
SRR11286401,0.58748925,0.7698291,-0.24943855,S,U2OS
SRR11286402,0.71001154,0.30401328,0.6351845,S,U2OS
SRR11286403,0.2644691,-0.9642148,-0.018597787,G1,U2OS
SRR11286404,0.35164115,-0.76618403,0.5378761,G2M,U2OS
SRR11286405,0.12432636,-0.24520603,0.9614661,G2M,U2OS
SRR11286406,0.61559665,-0.6139757,-0.49403885,G1,U2OS
SRR11286407,0.55743986,0.052502256,0.8285555,S,U2OS
SRR11286408,-0.03297345,-0.7653467,0.642773,G2M,U2OS
SRR11286411,0.9689492,0.21938342,-0.114053935,S,U2OS
SRR11286412,0.81366026,0.28504145,0.5066639,G2M,U2OS
SRR11286413,0.87018263,0.47633573,0.12604146,S,U2OS
SRR11286414,0.28193688,-0.6695691,0.68716,G2M,U2OS
SRR11286416,-0.03879908,-0.64448726,0.7636299,G2M,U2OS
