,Feature,Class,AbsoluteSHAPValue
0,A2M,G0,0.00016836211272880497
1,A2M,G1,0.0005563939339216774
2,A2M,G1-G0 transition,0.0006242515946061702
3,A2M,G2M,0.00015061360641498975
4,A2M,S,0.0003284455586198063
5,AANAT,G0,0.0002923158673737154
6,AANAT,G1,0.0007393396167070241
7,AANAT,G1-G0 transition,0.0005578201001892903
8,AANAT,G2M,0.0002692998790762649
9,AANAT,S,0.00023494982046507482
10,AARD,G0,0.00028997729556729576
11,AARD,G1,0.0006238324467371267
12,AARD,G1-G0 transition,0.0005018159916221546
13,AARD,G2M,0.00024276940970250068
14,AARD,S,0.00033888950484208604
15,ABCA7,G0,0.00031603477590597915
16,ABCA7,G1,0.0006695206636794277
17,ABCA7,G1-G0 transition,0.000685877317415395
18,ABCA7,G2M,0.00020672258413375965
19,ABCA7,S,0.0001997036866325823
20,ABCB11,G0,0.00017302875129298134
21,ABCB11,G1,0.0006013869948514503
22,ABCB11,G1-G0 transition,0.0005214983093514634
23,ABCB11,G2M,0.00021188932796168945
24,ABCB11,S,0.00025471155042498144
25,ABCC3,G0,0.0008581627075885705
26,ABCC3,G1,0.0008612367533834033
27,ABCC3,G1-G0 transition,0.0005851406904135762
28,ABCC3,G2M,0.00033229209406403286
29,ABCC3,S,0.0005026680993261185
30,ABCG4,G0,0.0003645432306784277
31,ABCG4,G1,0.000756510532943412
32,ABCG4,G1-G0 transition,0.0005566451084247894
33,ABCG4,G2M,0.00024664833669160534
34,ABCG4,S,0.00033907375127986456
35,ABHD12B,G0,0.00025327488946531103
36,ABHD12B,G1,0.00060323549584949
37,ABHD12B,G1-G0 transition,0.0006058694732771259
38,ABHD12B,G2M,0.0001479785203975138
39,ABHD12B,S,0.00032773136144553897
40,ACAN,G0,0.000246509409576911
41,ACAN,G1,0.0005802396006140659
42,ACAN,G1-G0 transition,0.0006275827214943741
43,ACAN,G2M,0.00018019620178533595
44,ACAN,S,0.0002148656976363315
45,ACKR3,G0,0.0002891627473811853
46,ACKR3,G1,0.000632723910254299
47,ACKR3,G1-G0 transition,0.0005268729963543712
