CLSPN,CDCA8,CDC20,KIF2C,STIL,ORC1,SGIP1,DEPDC1,PALMD,PSRC1,H2AC20,IQGAP3,NUF2,KIAA0040,ASPM,NR5A2,KIF14,NEK2,DTL,CENPF,EXO1,RRM2,CENPA,MEIS1,VAMP5,NCAPH,BUB1,CKAP2L,MCM6,CDCA7,OSBPL6,COL3A1,SGO2,IGFBP5,CRYBA2,HJURP,IL17RE,GHRL,SGO1,CMTM8,VILL,MCM2,ECT2,VWA5B2,RFC4,MASP1,FAM43A,SPON2,SLBP,FGFR3,MXD4,CENPE,CXXC4,UGT8,CCNA2,SPRY1,PCDH18,MGARP,HMGB2,PLCXD3,ISL1,CCNB1,VCAN,ARRDC3,PCSK1,KIF20A,CDC25C,SH3RF2,PDGFRB,HMMR,NEURL1B,H1-1,H1-4,H1-3,H4C8,H2BC11,H1-5,TCF19,MCM3,TTK,MMS22L,CD24,FBXO5,HEPACAM2,CDCA2,ESCO2,MCM4,SULF1,CCNE2,TNFRSF11B,ATAD2,TONSL,MFSD3,ENHO,MELK,ZNF367,AMBP,GSN,PTGS1,SAPCD2,NRARP,KLF6,MCM10,CXCL12,CDK1,ARID5B,SNCG,ACTA2,KIF20B,ANKRD1,KIF11,CEP55,HELLS,PDCD4,MKI67,IGF2,CDKN1C,SLC22A18,IRAG1,SPON1,SOX6,E2F8,KIF18A,LRRC4C,RAPSN,SERPING1,FAM111A,FEN1,INCENP,FLRT1,POLA2,POLD3,HYLS1,WNT5B,CDCA3,BCL2L14,TROAP,RACGAP1,PHLDA1,LUM,GAS2L3,UNG,CIT,RGCC,CKAP2,DIAPH3,F10,WDHD1,DLGAP5,SYNE2,PLD4,BUB1B,KNSTRN,KNL1,RAD51,RHOV,NUSAP1,WDR76,SHF,CCNB2,PIF1,KIF23,TICRR,BLM,CCNF,PAQR4,CLDN9,CLDN6,ARL6IP1,PLK1,YPEL3,NECAB2,GINS2,ZNF469,PIMREG,CLDN7,AURKB,TRPV2,SPAG5,DHRS13,SLFN11,PIGW,NEUROD2,CDC6,TOP2A,KRT17,PSMC3IP,BRCA1,PYY,KIF18B,HOXB5,ABCC3,YPEL2,BRIP1,KPNA2,UBALD2,NDC80,RAB27B,CHAF1A,CDKN2D,CCNE1,CLIP3,PPP1R14A,APOE,FCGRT,UBE2S,PCNA,CHGB,TPX2,DNMT3B,E2F1,DSN1,FAM83D,MAFB,UBE2C,AURKA,CDC45,MCM5,GTSE1,CLTRN,TSPAN7,PCSK1N,KIF4A,ERCC6L,SYTL4,L1CAM
10.0,20.0,12.0,23.0,21.0,6.0,0.0,1.0,0.0,14.0,0.0,12.0,7.0,0.0,20.0,0.0,7.0,9.0,7.0,74.0,10.0,115.0,11.0,2.0,0.0,27.0,20.0,12.0,4.0,3.0,5.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,3.0,2.0,0.0,9.0,7.0,0.0,18.0,0.0,0.0,0.0,2.0,0.0,1.0,10.0,5.0,0.0,34.0,0.0,0.0,0.0,21.0,0.0,0.0,48.0,0.0,0.0,0.0,20.0,15.0,4.0,4.0,6.0,9.0,24.0,8.0,0.0,0.0,0.0,0.0,12.0,21.0,9.0,0.0,3.0,6.0,0.0,16.0,11.0,20.0,0.0,0.0,6.0,9.0,13.0,0.0,0.0,32.0,2.0,0.0,7.0,0.0,3.0,0.0,5.0,2.0,0.0,37.0,21.0,1.0,1.0,4.0,9.0,17.0,14.0,2.0,5.0,48.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,21.0,2.0,0.0,3.0,25.0,21.0,1.0,0.0,2.0,14.0,7.0,0.0,30.0,0.0,19.0,17.0,6.0,0.0,4.0,0.0,9.0,0.0,18.0,8.0,0.0,14.0,17.0,7.0,3.0,10.0,32.0,25.0,3.0,0.0,3.0,2.0,1.0,26.0,9.0,41.0,1.0,1.0,21.0,1.0,0.0,0.0,14.0,34.0,1.0,0.0,7.0,0.0,8.0,0.0,26.0,2.0,23.0,0.0,0.0,6.0,0.0,4.0,79.0,13.0,10.0,9.0,0.0,12.0,0.0,7.0,3.0,10.0,73.0,0.0,49.0,0.0,6.0,3.0,1.0,0.0,0.0,0.0,0.0,4.0,31.0,0.0,83.0,7.0,0.0,11.0,18.0,0.0,53.0,17.0,39.0,18.0,18.0,0.0,0.0,0.0,12.0,11.0,0.0,2.0
16.0,24.0,84.0,51.0,15.0,5.0,0.0,4.0,0.0,24.0,0.0,27.0,27.0,0.0,22.0,0.0,17.0,7.0,18.0,82.0,7.0,147.0,12.0,5.0,0.0,52.0,34.0,30.0,15.0,1.0,1.0,0.0,18.0,0.0,0.0,30.0,0.0,0.0,5.0,5.0,0.0,19.0,21.0,0.0,12.0,0.0,0.0,0.0,13.0,0.0,5.0,30.0,0.0,4.0,48.0,0.0,0.0,0.0,21.0,0.0,0.0,93.0,0.0,8.0,0.0,16.0,1.0,23.0,0.0,13.0,21.0,21.0,4.0,0.0,0.0,0.0,0.0,26.0,27.0,13.0,4.0,0.0,23.0,0.0,31.0,31.0,32.0,0.0,0.0,0.0,33.0,25.0,2.0,0.0,79.0,7.0,0.0,23.0,0.0,0.0,0.0,22.0,22.0,0.0,81.0,15.0,0.0,0.0,9.0,25.0,35.0,12.0,1.0,14.0,150.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,7.0,14.0,0.0,0.0,35.0,60.0,7.0,0.0,2.0,8.0,16.0,0.0,40.0,0.0,28.0,25.0,8.0,0.0,4.0,4.0,21.0,0.0,22.0,19.0,0.0,4.0,41.0,9.0,11.0,23.0,29.0,31.0,5.0,0.0,1.0,9.0,0.0,25.0,1.0,57.0,5.0,6.0,29.0,2.0,0.0,0.0,45.0,46.0,3.0,0.0,14.0,0.0,12.0,0.0,16.0,2.0,52.0,0.0,0.0,7.0,0.0,28.0,112.0,10.0,8.0,3.0,0.0,18.0,0.0,0.0,0.0,18.0,84.0,0.0,88.0,0.0,5.0,0.0,8.0,2.0,0.0,0.0,0.0,7.0,22.0,0.0,117.0,8.0,5.0,4.0,43.0,0.0,69.0,42.0,45.0,6.0,39.0,0.0,0.0,0.0,49.0,4.0,0.0,0.0
13.0,39.0,116.0,69.0,18.0,25.0,0.0,18.0,0.0,29.0,1.0,29.0,13.0,0.0,9.0,0.0,17.0,12.0,53.0,83.0,6.0,157.0,8.0,2.0,0.0,28.0,51.0,36.0,12.0,5.0,5.0,0.0,17.0,0.0,0.0,30.0,0.0,0.0,11.0,0.0,0.0,72.0,27.0,0.0,61.0,0.0,0.0,0.0,10.0,0.0,0.0,8.0,0.0,11.0,58.0,0.0,9.0,0.0,29.0,0.0,0.0,96.0,0.0,1.0,0.0,13.0,0.0,12.0,0.0,13.0,15.0,19.0,8.0,0.0,15.0,11.0,0.0,17.0,80.0,11.0,5.0,0.0,19.0,0.0,19.0,22.0,74.0,0.0,6.0,0.0,43.0,38.0,3.0,0.0,55.0,4.0,0.0,12.0,3.0,3.0,0.0,25.0,26.0,0.0,47.0,6.0,0.0,2.0,12.0,87.0,13.0,21.0,7.0,7.0,72.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,38.0,103.0,2.0,0.0,5.0,25.0,18.0,0.0,34.0,0.0,10.0,20.0,1.0,0.0,7.0,7.0,9.0,0.0,7.0,5.0,0.0,11.0,36.0,13.0,2.0,20.0,34.0,12.0,10.0,0.0,3.0,23.0,0.0,33.0,1.0,71.0,1.0,8.0,43.0,4.0,0.0,0.0,20.0,28.0,0.0,0.0,14.0,0.0,3.0,0.0,15.0,0.0,39.0,0.0,0.0,4.0,0.0,55.0,121.0,2.0,16.0,54.0,0.0,36.0,0.0,1.0,0.0,9.0,132.0,0.0,57.0,3.0,4.0,0.0,15.0,6.0,0.0,0.0,0.0,2.0,86.0,0.0,85.0,8.0,3.0,12.0,46.0,0.0,38.0,49.0,59.0,81.0,29.0,0.0,0.0,0.0,20.0,10.0,3.0,1.0
0.0,52.0,160.0,56.0,23.0,24.0,0.0,23.0,0.0,17.0,1.0,24.0,17.0,0.0,56.0,0.0,16.0,29.0,26.0,187.0,0.0,72.0,6.0,0.0,0.0,18.0,92.0,18.0,9.0,0.0,7.0,0.0,42.0,0.0,0.0,14.0,0.0,0.0,16.0,6.0,0.0,7.0,10.0,0.0,12.0,0.0,0.0,0.0,11.0,0.0,1.0,16.0,0.0,0.0,70.0,0.0,0.0,0.0,20.0,0.0,0.0,267.0,0.0,20.0,0.0,98.0,0.0,10.0,0.0,25.0,0.0,25.0,2.0,0.0,44.0,6.0,0.0,0.0,32.0,2.0,3.0,0.0,4.0,0.0,25.0,0.0,22.0,0.0,1.0,0.0,36.0,12.0,4.0,0.0,26.0,0.0,0.0,17.0,0.0,10.0,0.0,0.0,7.0,0.0,6.0,1.0,0.0,10.0,0.0,6.0,23.0,45.0,0.0,6.0,172.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,15.0,2.0,0.0,11.0,10.0,33.0,0.0,0.0,1.0,1.0,0.0,4.0,28.0,0.0,13.0,33.0,1.0,0.0,21.0,13.0,14.0,0.0,37.0,12.0,0.0,3.0,46.0,17.0,8.0,35.0,56.0,5.0,0.0,0.0,0.0,0.0,0.0,103.0,6.0,49.0,0.0,5.0,13.0,1.0,0.0,0.0,56.0,123.0,0.0,0.0,6.0,0.0,24.0,0.0,8.0,0.0,52.0,0.0,0.0,13.0,0.0,44.0,61.0,34.0,14.0,44.0,0.0,11.0,0.0,0.0,12.0,0.0,62.0,1.0,97.0,0.0,2.0,11.0,14.0,0.0,0.0,0.0,0.0,16.0,54.0,0.0,216.0,9.0,0.0,2.0,19.0,0.0,26.0,87.0,43.0,31.0,10.0,0.0,0.0,0.0,37.0,0.0,2.0,1.0
39.0,28.0,61.0,77.0,23.0,6.0,0.0,7.0,0.0,28.0,1.0,24.0,16.0,4.0,17.0,0.0,8.0,5.0,6.0,84.0,12.0,239.0,0.0,3.0,0.0,43.0,44.0,11.0,16.0,7.0,10.0,0.0,4.0,0.0,0.0,34.0,0.0,0.0,16.0,0.0,0.0,42.0,2.0,3.0,26.0,0.0,0.0,8.0,9.0,0.0,1.0,6.0,0.0,7.0,48.0,0.0,0.0,0.0,42.0,0.0,0.0,73.0,0.0,0.0,0.0,13.0,7.0,10.0,0.0,16.0,12.0,30.0,7.0,0.0,31.0,19.0,0.0,49.0,24.0,8.0,14.0,0.0,19.0,0.0,15.0,32.0,63.0,0.0,0.0,3.0,24.0,27.0,7.0,0.0,75.0,3.0,0.0,41.0,0.0,8.0,0.0,3.0,17.0,0.0,50.0,14.0,0.0,6.0,2.0,36.0,19.0,13.0,4.0,1.0,71.0,0.0,0.0,7.0,0.0,0.0,6.0,5.0,13.0,0.0,0.0,2.0,73.0,92.0,1.0,0.0,1.0,32.0,10.0,4.0,37.0,1.0,17.0,11.0,0.0,0.0,5.0,12.0,9.0,0.0,18.0,13.0,0.0,9.0,28.0,30.0,6.0,7.0,38.0,13.0,2.0,0.0,1.0,9.0,0.0,34.0,16.0,71.0,7.0,5.0,32.0,7.0,0.0,0.0,28.0,31.0,0.0,0.0,25.0,1.0,36.0,0.0,11.0,0.0,24.0,0.0,0.0,15.0,0.0,26.0,127.0,45.0,8.0,7.0,0.0,24.0,1.0,0.0,0.0,29.0,104.0,1.0,79.0,0.0,5.0,3.0,37.0,10.0,0.0,0.0,0.0,10.0,46.0,0.0,64.0,13.0,10.0,9.0,31.0,0.0,67.0,18.0,55.0,67.0,26.0,0.0,0.0,2.0,21.0,11.0,0.0,8.0
34.0,36.0,39.0,47.0,41.0,15.0,0.0,5.0,0.0,11.0,0.0,20.0,11.0,4.0,11.0,0.0,3.0,9.0,21.0,55.0,6.0,171.0,8.0,0.0,0.0,37.0,49.0,23.0,9.0,0.0,2.0,0.0,16.0,0.0,0.0,43.0,0.0,0.0,10.0,1.0,0.0,19.0,14.0,0.0,40.0,0.0,0.0,0.0,12.0,0.0,0.0,7.0,0.0,0.0,54.0,0.0,0.0,0.0,23.0,0.0,0.0,128.0,0.0,0.0,0.0,14.0,7.0,14.0,0.0,8.0,16.0,1.0,0.0,0.0,5.0,0.0,0.0,19.0,46.0,14.0,6.0,0.0,13.0,0.0,21.0,8.0,29.0,0.0,6.0,0.0,38.0,72.0,2.0,0.0,52.0,4.0,0.0,27.0,0.0,0.0,0.0,14.0,23.0,0.0,42.0,37.0,0.0,2.0,7.0,5.0,11.0,12.0,9.0,0.0,78.0,0.0,0.0,7.0,0.0,0.0,1.0,6.0,16.0,6.0,0.0,6.0,24.0,94.0,4.0,0.0,3.0,20.0,5.0,2.0,21.0,0.0,17.0,24.0,2.0,0.0,9.0,7.0,12.0,2.0,23.0,13.0,0.0,24.0,22.0,10.0,5.0,7.0,32.0,14.0,1.0,1.0,0.0,5.0,0.0,56.0,8.0,44.0,2.0,15.0,27.0,7.0,0.0,0.0,51.0,45.0,2.0,0.0,20.0,0.0,15.0,0.0,24.0,0.0,50.0,0.0,0.0,12.0,0.0,28.0,82.0,8.0,11.0,19.0,0.0,32.0,0.0,7.0,2.0,11.0,147.0,0.0,47.0,0.0,20.0,0.0,22.0,10.0,0.0,0.0,0.0,5.0,51.0,0.0,107.0,17.0,1.0,12.0,52.0,0.0,67.0,29.0,48.0,28.0,17.0,0.0,0.0,0.0,27.0,3.0,10.0,7.0
11.0,4.0,15.0,6.0,18.0,13.0,0.0,0.0,0.0,2.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,35.0,0.0,22.0,0.0,7.0,4.0,0.0,42.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,66.0,1.0,0.0,15.0,0.0,0.0,0.0,29.0,3.0,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,12.0,0.0,0.0,66.0,0.0,6.0,0.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,2.0,0.0,13.0,23.0,0.0,6.0,91.0,6.0,5.0,0.0,14.0,0.0,1.0,0.0,87.0,0.0,3.0,1.0,26.0,29.0,0.0,0.0,1.0,13.0,0.0,21.0,0.0,0.0,0.0,18.0,9.0,0.0,10.0,48.0,0.0,4.0,18.0,14.0,0.0,4.0,3.0,0.0,16.0,0.0,0.0,6.0,0.0,0.0,7.0,0.0,0.0,6.0,0.0,0.0,11.0,20.0,0.0,0.0,2.0,6.0,0.0,0.0,8.0,0.0,5.0,0.0,1.0,0.0,0.0,18.0,17.0,0.0,7.0,0.0,0.0,15.0,6.0,0.0,2.0,0.0,7.0,0.0,7.0,0.0,0.0,19.0,0.0,28.0,0.0,0.0,7.0,10.0,10.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,5.0,0.0,21.0,18.0,10.0,23.0,9.0,0.0,3.0,0.0,10.0,4.0,4.0,75.0,0.0,0.0,2.0,6.0,0.0,18.0,18.0,0.0,0.0,0.0,1.0,51.0,0.0,0.0,0.0,7.0,20.0,0.0,0.0,3.0,0.0,9.0,53.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,14.0
5.0,37.0,70.0,73.0,12.0,1.0,0.0,9.0,0.0,31.0,0.0,35.0,18.0,1.0,22.0,0.0,15.0,7.0,16.0,112.0,8.0,151.0,11.0,0.0,0.0,39.0,63.0,35.0,5.0,0.0,2.0,0.0,10.0,4.0,0.0,32.0,0.0,0.0,14.0,5.0,0.0,40.0,13.0,0.0,18.0,0.0,0.0,0.0,1.0,0.0,0.0,21.0,5.0,0.0,49.0,0.0,0.0,0.0,22.0,0.0,0.0,141.0,0.0,0.0,0.0,19.0,3.0,8.0,0.0,10.0,16.0,3.0,3.0,0.0,3.0,6.0,0.0,25.0,14.0,10.0,7.0,0.0,20.0,0.0,33.0,23.0,52.0,0.0,0.0,0.0,51.0,15.0,1.0,0.0,39.0,0.0,0.0,7.0,2.0,4.0,0.0,8.0,25.0,0.0,70.0,8.0,0.0,3.0,8.0,16.0,15.0,3.0,0.0,3.0,125.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,10.0,2.0,0.0,7.0,32.0,84.0,2.0,0.0,5.0,9.0,9.0,0.0,26.0,0.0,9.0,17.0,2.0,0.0,1.0,2.0,14.0,0.0,25.0,16.0,0.0,24.0,44.0,9.0,4.0,15.0,54.0,18.0,4.0,0.0,0.0,5.0,0.0,35.0,20.0,56.0,6.0,2.0,34.0,2.0,0.0,0.0,34.0,33.0,3.0,0.0,18.0,0.0,11.0,0.0,37.0,2.0,44.0,0.0,0.0,4.0,0.0,40.0,139.0,0.0,4.0,13.0,0.0,47.0,0.0,7.0,0.0,8.0,89.0,1.0,80.0,3.0,7.0,0.0,12.0,5.0,0.0,0.0,0.0,16.0,30.0,0.0,99.0,2.0,4.0,8.0,34.0,0.0,56.0,41.0,17.0,21.0,36.0,0.0,0.0,0.0,28.0,8.0,4.0,5.0
11.0,87.0,190.0,123.0,15.0,11.0,0.0,23.0,0.0,40.0,0.0,29.0,30.0,0.0,41.0,0.0,31.0,59.0,12.0,210.0,9.0,51.0,27.0,0.0,0.0,45.0,56.0,29.0,23.0,13.0,6.0,0.0,37.0,0.0,0.0,80.0,0.0,0.0,4.0,7.0,0.0,21.0,31.0,7.0,21.0,0.0,0.0,0.0,6.0,0.0,1.0,37.0,0.0,14.0,94.0,0.0,0.0,0.0,43.0,0.0,0.0,324.0,0.0,0.0,0.0,123.0,27.0,3.0,0.0,47.0,10.0,0.0,0.0,0.0,3.0,14.0,0.0,6.0,53.0,20.0,12.0,0.0,2.0,0.0,28.0,6.0,47.0,0.0,0.0,0.0,31.0,42.0,7.0,0.0,31.0,0.0,0.0,26.0,0.0,3.0,0.0,7.0,22.0,0.0,46.0,4.0,0.0,0.0,12.0,2.0,23.0,47.0,2.0,4.0,300.0,0.0,0.0,7.0,0.0,2.0,2.0,0.0,10.0,0.0,0.0,25.0,15.0,34.0,11.0,1.0,1.0,14.0,12.0,0.0,50.0,0.0,26.0,60.0,5.0,0.0,21.0,14.0,19.0,0.0,57.0,11.0,0.0,11.0,62.0,5.0,9.0,15.0,101.0,43.0,8.0,0.0,1.0,5.0,2.0,70.0,5.0,25.0,6.0,0.0,86.0,5.0,0.0,0.0,105.0,115.0,0.0,0.0,29.0,0.0,45.0,0.0,20.0,5.0,104.0,0.0,0.0,0.0,0.0,5.0,243.0,102.0,14.0,17.0,0.0,49.0,0.0,0.0,0.0,5.0,226.0,3.0,102.0,0.0,5.0,2.0,1.0,3.0,0.0,0.0,0.0,32.0,33.0,0.0,159.0,2.0,0.0,3.0,76.0,0.0,82.0,126.0,17.0,35.0,90.0,0.0,0.0,0.0,35.0,15.0,1.0,15.0
13.0,20.0,73.0,32.0,27.0,10.0,0.0,14.0,0.0,13.0,1.0,14.0,4.0,0.0,9.0,2.0,7.0,16.0,18.0,41.0,8.0,99.0,7.0,0.0,0.0,45.0,13.0,20.0,0.0,2.0,2.0,0.0,9.0,0.0,0.0,31.0,0.0,0.0,4.0,0.0,0.0,46.0,8.0,0.0,30.0,0.0,0.0,0.0,8.0,0.0,3.0,7.0,0.0,2.0,31.0,0.0,0.0,0.0,12.0,0.0,0.0,68.0,0.0,0.0,0.0,3.0,1.0,28.0,0.0,10.0,5.0,19.0,5.0,0.0,0.0,3.0,0.0,13.0,32.0,5.0,6.0,0.0,24.0,0.0,18.0,17.0,43.0,0.0,1.0,0.0,40.0,22.0,3.0,0.0,41.0,5.0,0.0,17.0,5.0,1.0,0.0,21.0,17.0,0.0,52.0,26.0,0.0,6.0,5.0,10.0,10.0,7.0,0.0,4.0,90.0,0.0,0.0,2.0,0.0,0.0,0.0,7.0,1.0,23.0,0.0,2.0,15.0,89.0,0.0,0.0,1.0,20.0,13.0,0.0,34.0,0.0,14.0,31.0,7.0,0.0,8.0,6.0,11.0,0.0,14.0,17.0,0.0,18.0,7.0,18.0,10.0,12.0,35.0,8.0,11.0,0.0,1.0,12.0,0.0,33.0,1.0,48.0,3.0,1.0,51.0,7.0,0.0,0.0,19.0,24.0,0.0,0.0,20.0,0.0,10.0,0.0,9.0,0.0,23.0,0.0,0.0,3.0,0.0,64.0,71.0,24.0,16.0,9.0,0.0,8.0,0.0,2.0,1.0,0.0,124.0,1.0,53.0,0.0,1.0,4.0,2.0,2.0,0.0,0.0,0.0,16.0,41.0,0.0,83.0,13.0,6.0,5.0,28.0,0.0,72.0,50.0,26.0,27.0,38.0,0.0,0.0,0.0,15.0,4.0,10.0,5.0
