,phase,library
SRR11286370,G2M,U2OS
SRR11286371,G2M,U2OS
SRR11286372,G2M,U2OS
SRR11286374,G1,U2OS
SRR11286375,S,U2OS
SRR11286377,G2M,U2OS
SRR11286378,G1,U2OS
SRR11286379,G2M,U2OS
SRR11286380,G1,U2OS
SRR11286381,G2M,U2OS
SRR11286383,S,U2OS
SRR11286384,G1,U2OS
SRR11286385,S,U2OS
SRR11286386,G2M,U2OS
SRR11286387,S,U2OS
SRR11286388,S,U2OS
SRR11286389,G2M,U2OS
SRR11286390,G1-G0 transition,U2OS
SRR11286391,S,U2OS
SRR11286392,G2M,U2OS
SRR11286393,G2M,U2OS
SRR11286394,S,U2OS
SRR11286396,S,U2OS
SRR11286397,G2M,U2OS
SRR11286398,S,U2OS
SRR11286399,G2M,U2OS
SRR11286401,S,U2OS
SRR11286402,S,U2OS
SRR11286403,G1,U2OS
SRR11286404,G2M,U2OS
SRR11286405,G2M,U2OS
SRR11286406,G1,U2OS
SRR11286407,S,U2OS
SRR11286408,G2M,U2OS
SRR11286411,S,U2OS
SRR11286412,G2M,U2OS
SRR11286413,S,U2OS
SRR11286414,G2M,U2OS
SRR11286416,G2M,U2OS
SRR11286417,G1-G0 transition,U2OS
SRR11286419,G1,U2OS
SRR11286420,G2M,U2OS
SRR11286422,S,U2OS
SRR11286423,G1,U2OS
SRR11286424,G1,U2OS
SRR11286425,G1,U2OS
SRR11286426,S,U2OS
SRR11286427,G1,U2OS
SRR11286428,G1,U2OS
SRR11286429,S,U2OS
SRR11286430,G2M,U2OS
SRR11286431,S,U2OS
SRR11286432,G2M,U2OS
SRR11286433,G1,U2OS
SRR11286434,G2M,U2OS
SRR11286435,S,U2OS
SRR11286436,G2M,U2OS
SRR11286437,G2M,U2OS
SRR11286438,G2M,U2OS
SRR11286441,S,U2OS
SRR11286442,G2M,U2OS
SRR11286443,S,U2OS
SRR11286444,S,U2OS
SRR11286445,G2M,U2OS
SRR11286446,G1,U2OS
SRR11286447,G2M,U2OS
SRR11286449,G2M,U2OS
SRR11286450,S,U2OS
SRR11286451,S,U2OS
SRR11286452,G1-G0 transition,U2OS
SRR11286453,G2M,U2OS
SRR11286454,G1,U2OS
SRR11286456,G1,U2OS
SRR11286457,G1-G0 transition,U2OS
SRR11286459,G1-G0 transition,U2OS
SRR11286460,G1-G0 transition,U2OS
SRR11286461,S,U2OS
SRR11286462,G2M,U2OS
SRR11286463,G1,U2OS
SRR11286464,G1-G0 transition,U2OS
SRR11286465,G2M,U2OS
SRR11286466,G2M,U2OS
SRR11286467,G1-G0 transition,U2OS
SRR11286468,G2M,U2OS
SRR11286469,S,U2OS
SRR11286470,G2M,U2OS
SRR11286471,S,U2OS
SRR11286472,S,U2OS
SRR11286475,G2M,U2OS
SRR11286476,G1,U2OS
SRR11286477,S,U2OS
