,Gene_stable_ID,human_genes,mouse_genes,Mouse_gene_stable_ID
5,ENSG00000198888,MT-ND1,mt-Nd1,ENSMUSG00000064341
9,ENSG00000198763,MT-ND2,mt-Nd2,ENSMUSG00000064345
15,ENSG00000198804,MT-CO1,mt-Co1,ENSMUSG00000064351
18,ENSG00000198712,MT-CO2,mt-Co2,ENSMUSG00000064354
20,ENSG00000228253,MT-ATP8,mt-Atp8,ENSMUSG00000064356
21,ENSG00000198899,MT-ATP6,mt-Atp6,ENSMUSG00000064357
22,ENSG00000198938,MT-CO3,mt-Co3,ENSMUSG00000064358
24,ENSG00000198840,MT-ND3,mt-Nd3,ENSMUSG00000064360
26,ENSG00000212907,MT-ND4L,mt-Nd4l,ENSMUSG00000065947
27,ENSG00000198886,MT-ND4,mt-Nd4,ENSMUSG00000064363
31,ENSG00000198786,MT-ND5,mt-Nd5,ENSMUSG00000064367
32,ENSG00000198695,MT-ND6,mt-Nd6,ENSMUSG00000064368
34,ENSG00000198727,MT-CYB,mt-Cytb,ENSMUSG00000064370
53,ENSG00000274917,RNA5-8SN5,Gm55073,ENSMUSG00002075637
173,ENSG00000114374,USP9Y,Usp9y,ENSMUSG00000069044
434,ENSG00000012817,KDM5D,Kdm5d,ENSMUSG00000056673
488,ENSG00000184895,SRY,Sry,ENSMUSG00000069036
505,ENSG00000067048,DDX3Y,Ddx3y,ENSMUSG00000069045
507,ENSG00000183878,UTY,Uty,ENSMUSG00000068457
531,ENSG00000154620,TMSB4Y,Tmsb4x,ENSMUSG00000049775
1153,ENSG00000154646,TMPRSS15,Tmprss15,ENSMUSG00000022857
1175,ENSG00000154639,CXADR,Gm1123,ENSMUSG00000044860
1177,ENSG00000102699,PARP4,Parp4,ENSMUSG00000054509
1212,ENSG00000027001,MIPEP,Mipep,ENSMUSG00000021993
1217,ENSG00000142207,URB1,Urb1,ENSMUSG00000039929
1225,ENSG00000102781,KATNAL1,Katnal1,ENSMUSG00000041298
1231,ENSG00000154721,JAM2,Jam2,ENSMUSG00000053062
1255,ENSG00000132952,USPL1,Uspl1,ENSMUSG00000041264
1275,ENSG00000156282,CLDN17,Cldn17,ENSMUSG00000055811
1276,ENSG00000166265,CYYR1,Cyyr1,ENSMUSG00000041134
1279,ENSG00000243927,MRPS6,Mrps6,ENSMUSG00000039680
1299,ENSG00000102753,KPNA3,Kpna3,ENSMUSG00000021929
1300,ENSG00000188694,KRTAP24-1,Krtap24-1,ENSMUSG00000050239
1302,ENSG00000198743,SLC5A3,Slc5a3,ENSMUSG00000089774
1305,ENSG00000159259,CHAF1B,Chaf1b,ENSMUSG00000022945
1331,ENSG00000165475,CRYL1,Cryl1,ENSMUSG00000021947
1332,ENSG00000156304,SCAF4,Scaf4,ENSMUSG00000022983
1359,ENSG00000102547,CAB39L,Cab39l,ENSMUSG00000021981
1398,ENSG00000120675,DNAJC15,Dnajc15,ENSMUSG00000022013
1400,ENSG00000132975,GPR12,Gpr12,ENSMUSG00000041468
1407,ENSG00000154654,NCAM2,Ncam2,ENSMUSG00000022762
1418,ENSG00000132970,WASF3,Wasf3,ENSMUSG00000029636
1443,ENSG00000156284,CLDN8,Cldn8,ENSMUSG00000050520
1446,ENSG00000222018,C21orf140,Fam243,ENSMUSG00000051728
1460,ENSG00000142149,HUNK,Hunk,ENSMUSG00000053414
1462,ENSG00000154642,C21orf91,D16Ertd472e,ENSMUSG00000022864
1465,ENSG00000133110,POSTN,Postn,ENSMUSG00000027750
1473,ENSG00000159256,MORC3,Morc3,ENSMUSG00000039456
1476,ENSG00000159086,PAXBP1,Paxbp1,ENSMUSG00000022974
1484,ENSG00000205929,C21orf62,4932438H23Rik,ENSMUSG00000039851
1493,ENSG00000205726,ITSN1,Itsn1,ENSMUSG00000022957
1495,ENSG00000102531,FNDC3A,Fndc3a,ENSMUSG00000033487
1496,ENSG00000158270,COLEC12,Colec12,ENSMUSG00000036103
1512,ENSG00000141401,IMPA2,Impa2,ENSMUSG00000024525
1520,ENSG00000183722,LHFPL6,Lhfpl6,ENSMUSG00000048332
1553,ENSG00000168461,RAB31,Rab31,ENSMUSG00000056515
1559,ENSG00000023516,AKAP11,Akap11,ENSMUSG00000022016
1565,ENSG00000204899,MZT1,Mzt1,ENSMUSG00000033186
1576,ENSG00000120685,PROSER1,Proser1,ENSMUSG00000049504
1590,ENSG00000165837,ERICH6B,Erich6b,ENSMUSG00000022002
1601,ENSG00000083535,PIBF1,Pibf1,ENSMUSG00000022064
1613,ENSG00000176105,YES1,Yes1,ENSMUSG00000014932
1630,ENSG00000136122,BORA,Bora,ENSMUSG00000022070
1641,ENSG00000197705,KLHL14,Klhl14,ENSMUSG00000042514
